channel_title,title,views,likes,dislikes
The Weeknd,The Weeknd - Call Out My Name (Official Audio),3234661,176564,2578
SQUEEZIE,J'AI COMPL√àTEMENT CRAQU√â...,3234195,269469,2302
GOLAZO TV,SEV 0-5 BAR - All Goals & Extended Highlights - 21/04/2018 HD 1080p,3232904,27066,1573
Sofiane Officiel,Sofiane - Lundi [Clip Officiel],3226937,115732,2987
Illumination,The Grinch - Official Trailer (HD),3221044,48369,13805
SQUEEZIE,JE VOUS PI√àGE INCOGNITO,3219602,269234,2309
MLG Highlights,Cleveland Cavaliers vs Boston Celtics Full Game Highlights / Game 3 / 2018 NBA Playoffs,3218760,16934,1053
xxxtentacion,XXXTENTACION - changes,3218685,271217,1948
orelsan,OrelSan - D√©faite de famille [CLIP OFFICIEL],3210952,201259,3719
Unbox Therapy,"The ULTIMATE $30,000 Gaming PC Setup",3205123,74191,5438
NORMAN FAIT DES VID√âOS,NORMAN - LA CHANSON DU FAUX,3196102,346949,32626
PewDiePie,CURB YOUR MEME,3195316,270845,4893
Brave Wilderness,VENOM EXTRACTION - Centipede Bite Aftermath!,3193487,100003,1701
NugoBasilaiaa,Sevilla Vs Barcelona 2-2 - All Goals & Highlights - Resumen y Goles 31/03/2018 HD,3192364,19660,2212
Primitive Technology,Primitive Technology: A-frame hut,3190784,148718,1239
MLG Highlights,Cleveland Cavaliers vs Golden State Warriors Full Game Highlights / Game 4 / 2018 NBA Finals,3190684,15692,1383
NBC,Oprah Winfrey Receives Cecil B. de Mille Award at the 2018 Golden Globes,3189905,71364,7701
Dude Perfect,Best of 2017 | Dude Perfect,3185900,195428,1502
BuzzFeedVideo,$10 Cheesesteak Vs. $120 Cheesesteak,3181665,74464,5916
5-Minute Crafts,18 COOL AND EASY PHONE CRAFTS YOU'LL ACTUALLY WANT TO TRY,3179193,39010,2693
SQUEEZIE,VOS MEILLEURS MONTAGES VID√âO #1,3178203,259848,2133
Bigorneaux & Coquillages,ON TESTE DES V√âHICULES IMPROBABLES,3168575,234464,2465
Mr Sagoo,35 Genius Ideas!,3168147,6327,2613
Logan Paul Vlogs,REACTING TO JAKE PAUL‚ÄôS NEW CHRISTMAS ALBUM! **he lied to you**,3163535,175947,4106
The Times of India,No VIP treatment for Salman Khan in jail: Jodhpur DIG (Prisons),3162735,18442,4893
INSIDER,Hidden Meanings Behind Childish Gambino's 'This Is America' Video Explained,3162367,74545,5583
MLG Highlights,Golden State Warriors vs Boston Celtics Full Game Highlights / Week 5 / 2017 NBA Season,3158597,19584,995
Netflix,13 Reasons Why: Season 2 | Date Announcement [HD] | Netflix,3157704,130225,5403
SQUEEZIE,UNE VID√âO PAS DR√îLE MAIS INT√âRESSANTE #2,3156774,240900,7228
Niska Officiel,Niska - Tubalife Feat. Booba,3154554,171335,4583
Troom Troom,12 Weird Ways To Sneak Food Into Class / Back To School Pranks,3153224,28451,2285
BANGTANTV,BTS (Î∞©ÌÉÑÏÜåÎÖÑÎã®) - Airplane pt.2 @BTS COMEBACK SHOW,3148043,460016,1201
MLG Highlights,Cleveland Cavaliers vs Boston Celtics Full Game Highlights / Feb 11 / 2017-18 NBA Season,3143036,17714,876
LastWeekTonight,Rudy Giuliani: Last Week Tonight with John Oliver (HBO),3142665,64618,2442
Disney Movie Trailers,Mary Poppins Returns Official Teaser Trailer,3141764,57674,3729
The Film Theorists,Film Theory: Willy Wonka and the Golden Ticket SCAM! (Willy Wonka and the Chocolate Factory),3136522,99326,7214
Bigorneaux & Coquillages,PLAGIAT OU PAS PLAGIAT ?,3136250,227859,8193
Kanye West,kanye west / charlamagne interview,3134928,88904,7526
Rabbitholebd Sports,Afghanistan vs Bangladesh Highlights || 3rd T20 || 2018,3134793,25369,2431
SiaVEVO,"LSD - Genius ft. Sia, Diplo, Labrinth",3129644,136624,2216
SQUEEZIE,1 CHALLENGE 10 YOUTUBEURS,3123081,336797,2080
The Game Theorists,Game Theory: FNAF STUMPED Me! (FNAF 6 Ultimate Custom Night),3122790,160589,5880
PewDiePie,"YOU LAUGH, YOU TERRIFIED",3122058,222580,9098
5-Minute Crafts,22 CHRISTMAS DECOR AND GIFT IDEAS WITHOUT GOING BROKE,3121988,46781,2368
Ozuna,Ozuna - UÃÅnica (Video Oficial) üêª A U R A,3120952,214632,5940
MLG Highlights,Cleveland Cavaliers vs Golden State Warriors Full Game Highlights / Game 3 / 2018 NBA Finals,3117423,15747,1550
Cyprien,CYPRIEN - LUNAIRE (court m√©trage),3113409,387667,8872
Marvel Entertainment,Avengers: Infinity War Trailer Tease,3111226,127081,12404
LastWeekTonight,Rehab: Last Week Tonight with John Oliver (HBO),3111056,66571,1473
Matt Stonie,Matt Stonie vs 1 MASSIVE Slice of Pizza,3110661,80220,4303
Sony Pictures Entertainment,HOTEL TRANSYLVANIA 3: SUMMER VACATION - Official Trailer (HD),3109832,21616,1184
SQUEEZIE,Un message sinc√®re,3106340,467476,3723
WORLDSTARHIPHOP,6IX9INE Gotti (WSHH Exclusive - Official Music Video),3104591,250698,14316
LogicVEVO,"Logic, Marshmello - Everyday",3103186,213063,4608
Cardi B,Cardi B - Drip feat. Migos [Official Audio],3100696,139747,6931
Sen Anlat Karadeniz,Sen Anlat Karadeniz 8. B√∂l√ºm 2. Fragmanƒ±,3099509,40028,1097
Bhad Bhabie,BHAD BHABIE feat. Lil Yachty - Gucci Flip Flops (Official Music Video) | Danielle Bregoli,3095476,218771,16617
ChrisBrownVEVO,Chris Brown - Tempo,3089898,191092,4207
KendrickLamarVEVO,"Kendrick Lamar, SZA - All The Stars (Audio)",3089699,152782,2265
WINNER,WINNER - ‚ÄòEVERYDAY‚Äô M/V,3086615,340359,5666
ŸÖÿπŸÑŸàŸÖÿ© l ŸÉÿ±ŸàŸäÿ©,ÿ¥ÿßŸáÿØ ŸÖÿ≠ŸÖÿØ ÿµŸÑÿßÿ≠ ÿØÿßÿÆŸÑ ÿßŸÑŸÖÿ≥ÿ™ÿ¥ŸÅŸâ ÿßÿ´ŸÜÿßÿ° ÿπŸÖŸÑ ÿßŸÑÿßÿ¥ÿßÿπÿ©,3086285,21693,5590
5-Minute Crafts,25 CUTE AND FAST DIY PROJECTS FOR THE WHOLE FAMILY,3082293,27217,2653
Vanity Fair,Jennifer Lawrence Takes a Lie Detector Test | Vanity Fair,3081500,72995,4821
The Star Online,Malian hero scales Paris building to save child,3081258,44773,1883
BellyVEVO,Belly - What You Want ft. The Weeknd,3079736,64856,3087
LIVELOVEASAPVEVO,A$AP Rocky - A$AP Forever (Official Video) ft. Moby,3079473,214849,2565
GOLAZO TV,Barcelona vs Celta Vigo 5-0 - All Goals & Extended Highlights - La Copa 11/01/2017 HD,3077931,24391,1161
GOLAZO TV,Valencia vs Barcelona 0-2 - All Goals & Extended Highlights - La Copa 08/02/2018 HD,3077741,25699,1375
SQUEEZIE,SQUEEZIE - FREESTYLE DE POTES (ft Seb & Maxenss),3074212,319426,15726
JayZVEVO,JAY-Z - Family Feud ft. Beyonc√©,3071682,104694,9367
KendrickLamarVEVO,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722,193253,3071
Speed Records,20 Saal (Full Video) | Kambi | Sukh - E (Muzical Doctorz) | Latest Punjabi Song 2018 | Speed Records,3070517,157850,2636
The Slow Mo Guys,How a TV Works in Slow Motion - The Slow Mo Guys,3068037,206204,1468
Mhd Officiel,MHD - AFRO TRAP Part.10 (Moula Gang),3067840,163481,4894
LastWeekTonight,Trump vs. The World: Last Week Tonight with John Oliver (HBO),3063915,113010,7171
CCTVÊò•Êôö,Áõ¥Êí≠ÂõûÁúãÔºö2018‰∏≠Â§ÆÁîµËßÜÂè∞Êò•ËäÇËÅîÊ¨¢Êôö‰ºö | 2018 CCTV Spring Festival Gala,3062990,12742,2716
Maroon5VEVO,Maroon 5 - Girls Like You ft. Cardi B,3057987,406730,4521
Hatim Idar | ÿ≠ÿßÿ™ŸÖ ÿ•ÿØÿßÿ±,Hatim Idar - Banat dounia (Exclusive Music Video) | ÿ≠ÿßÿ™ŸÖ ÿ•ÿØÿßÿ± - ÿ®ŸÜÿßÿ™ ÿßŸÑÿØŸÜŸäÿß,3054920,0,0
KSI,THE FINAL DECISION,3049769,236628,8534
Legendary Football,Germany vs Brazil 0-1 All Goals & Highlights Extended 2018 HD,3045739,8768,1680
Bigorneaux & Coquillages,PLAGIAT OU PAS PLAGIAT ?,3044244,223166,8037
CalvinHarrisVEVO,"Calvin Harris, Dua Lipa - One Kiss (ZHU Remix) (Audio)",3044172,17582,2824
MLG Highlights,Golden State Warriors vs Houston Rockets Full Game Highlights / Game 3 / 2018 NBA Playoffs,3041434,14595,1109
Global News,Royal Wedding special: The marriage of Harry & Meghan,3040757,17850,2622
LastWeekTonight,Stupid Watergate II: Last Week Tonight with John Oliver (HBO),3034924,68076,2861
PewDiePie,U SLAV U LOSE,3030716,204978,7261
Lil pump,Lil Pump - Designer (Official Audio),3019738,272522,8506
JColeVEVO,J. Cole - ATM,3018846,198271,5228
Super Netvid,"DJ Khaled, Rihanna - Wild Thoughts (2018 Live Performance)",3014847,42557,2791
Tasty,I Went To Japan To Make The Most Difficult Omelet,3012365,128819,1365
Mcfly & Carlito,LA CHANSON DE LA JOIE (DEFI YOUTUBE WARRIOR 2 PERDU RE-UPLOAD),3011793,243544,1062
CamilaCabelloVEVO,Camila Cabello - Never Be the Same,3008740,402835,9021
BuzzFeedBlue,"$40 Gym Vs. $10,000 Gym",3006287,50060,4391
SiaVEVO,"LSD - Audio ft. Sia, Diplo, Labrinth",3002221,195974,2081
Mcfly & Carlito,S vs L (Clash des fili√®res),2998343,295533,5599
Markiplier,Try Not To Laugh Challenge #13,2997090,189470,2450
TheWeekndVEVO,"The Weeknd, Kendrick Lamar - Pray For Me (Lyric Video)",2996301,181651,2291
21SavageVEVO,"21 Savage, Offset, Metro Boomin - Ric Flair Drip",2994451,129229,2647
Audio Music,"Bruno Mars,Charlie Puth,Ed Sheeran Best Christmas Songs,Greatest Hits Pop Playlist Christmas 2018",2993086,13495,3938
alyaoum24,ÿ¥ÿßŸáÿØ..ŸÑÿ≠ÿ∏ÿ© ÿ™ŸÑŸÇŸä ÿ±ŸàŸÜÿßÿ± ÿßÿ™ÿµÿßŸÑÿß ŸÖŸÜ ÿßŸÑŸÖŸÑŸÉ ŸÖÿ≠ŸÖÿØ ÿßŸÑÿ≥ÿßÿØÿ≥ ÿ®ÿπÿØ ÿßŸÑŸÅŸàÿ≤,2990802,23443,2244
PewDiePie,"KIDS DROP THEIR PHONES , THE REASON WHY , WILL SHOCK U! [MEME REVIEW] üëè üëè #14",2989709,209964,4448
LastWeekTonight,Immigration Courts: Last Week Tonight with John Oliver (HBO),2985326,76527,2952
NORMAN FAIT DES VID√âOS,TERRAIN MIN√â (Norman ft Jimmy Labeeu),2983801,262810,17020
MLG Highlights,Cleveland Cavaliers vs Boston Celtics Full Game Highlights / Game 2 / 2018 NBA Playoffs,2975372,14224,1084
NORMAN FAIT DES VID√âOS,NORMAN - LA CHANSON DU FAUX,2971804,332675,30959
orelsan,OrelSan - Tout va bien [CLIP OFFICIEL],2971241,162641,3116
FBE,YOUTUBERS REACT TO WALMART YODEL BOY,2969842,68611,3473
League of Legends,ANNIE: Origins | League of Legends,2968191,150503,2150
Tide,Tide | Super Bowl LII 2018 Commercial | It's a Tide Ad,2966389,63186,1611
Bigorneaux & Coquillages,ON TESTE DES V√âHICULES IMPROBABLES,2966263,225019,2277
Vogue,Rihanna's Epic 10-Minute Guide to Going Out Makeup | Beauty Secrets | Vogue,2966107,270249,1897
Anes Tina,"Anes Tina Rani za3fane , ÿ±ÿßŸÜŸä ÿ≤ÿπŸÅÿßŸÜ",2962946,292529,4629
SelenaGomezVEVO,"Selena Gomez, Marshmello - Wolves",2959054,415049,6703
SQUEEZIE,MARK ZUCKERBERG EST-IL UN ROBOT ?,2958517,236333,4741
AlHayah TV Network,ŸÖÿ≥ŸÑÿ≥ŸÑ ŸÉŸÑÿ®ÿ¥ | ÿßŸÑÿ¨ÿ≤ÿ° ÿßŸÑÿ´ÿßŸÜŸä ‚Äì  ÿßŸÑÿ≠ŸÑŸÇÿ© ÿßŸÑÿ≥ÿßÿ®ÿπÿ© ÿπÿ¥ÿ± 17 | Kalabsh2 Episode 17,2956489,23581,2016
Primitive Technology,Primitive Technology: Lime,2947593,109416,1358
Lele Pons,"Amigos | Lele Pons, Rudy Mancuso, Juanpa Zurita, Hannah Stocking & Anwar Jibawi",2946933,229407,6008
Ulaganayagan Tube,Vishwaroopam 2 (Tamil) - Official Trailer | Kamal Haasan | Ghibran,2944266,129202,7623
BANGTANTV,G.C.F in Osaka,2942269,688754,687
Mcfly & Carlito,BLINDTEST DES SYNONYMES feat. MAXENSS et SQUEEZIE,2937617,324561,5696
SPGOALS TV,Tottenham vs Chelsea 3-1  All Goals & Highlights 01/04/2018,2936235,12120,1822
1theK (ÏõêÎçîÏºÄÏù¥),[MV] AOA _ Bingle Bangle(ÎπôÍ∏ÄÎ±ÖÍ∏Ä),2934310,160858,7762
PewDiePie,WARNING : ONLY INTELLEGENT PEOPLE CAN WATCH THIS.,2933896,322696,3851
PewDiePie,IF YOU DONT LIKE AMY SCHUMER THEN YOU ARE A ....,2932977,256751,4821
Ed Sheeran,Ed Sheeran - Supermarket Flowers [Live from the BRITs 2018],2932251,161467,2523
J. Cole,J. Cole x Lil Pump Interview at The Sheltuh,2929323,146008,1984
ŸÖÿπŸÑŸàŸÖÿ© l ŸÉÿ±ŸàŸäÿ©,ŸÑŸÜ ÿ™ÿµÿØŸÇ ŸÉŸäŸÅ ÿßÿ≥ÿ™ŸÇÿ®ŸÑ ŸÉÿ±Ÿäÿ≥ÿ™ŸäÿßŸÜŸà ÿ±ŸàŸÜÿßŸÑÿØŸà ŸÖÿ≠ŸÖÿØ ÿµŸÑÿßÿ≠ ŸÖÿ¥ŸáÿØ ŸÖÿß ŸÉÿßŸÜ ŸäÿµÿØŸÇ ŸÑŸàŸÑÿß ÿßŸÜŸá ÿ™ŸÖ ÿ™ÿ≥ÿ¨ŸäŸÑÿ©,2929200,48683,5696
Marshmello,Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,2926503,242501,2922
Football Highlights Update,Hasil Bola Tadi Malam ‚Ä¢ Liga Champion (15/03/2018) HD,2926077,9491,1540
PewDiePie,Is it ùìòùìºùì∏ùìπùì∏ùì≠ ùìóùì∏ùìæùìª yet?,2924906,231372,4366
PressTube,Casting Mirror Polished Japanese Foil Ball from Molten Aluminium,2924176,58559,3837
Mcfly & Carlito,ON CR√âE DES CHANSONS EN IMPRO #2 feat. Maxenss et Squeezie,2922292,204763,5173
SeanPaulVEVO,"Sean Paul, David Guetta - Mad Love ft. Becky G",2921518,129894,2205
Kodak Black,Kodak Black - Roll In Peace feat. XXXTentacion [Official Music Video],2918806,165230,4459
Cyprien,TOP 10 DES JEUX 2017 (CLIP),2918735,277494,12865
The Slow Mo Guys,Slow Mo Katana Sword - 4K - The Slow Mo Guys,2918106,93040,1765
SQUEEZIE,QUI POSS√àDE LE MEILLEUR JOUET ? (ft Maxenss & Seb),2916832,211911,4239
Saad Lamjarred | ÿ≥ÿπÿØ ŸÑŸÖÿ¨ÿ±ÿØ,Saad Lamjarred - Ghazali (EXCLUSIVE Music Video) | 2018 | ÿ≥ÿπÿØ ŸÑŸÖÿ¨ÿ±ÿØ - ÿ∫ÿ≤ÿßŸÑŸä ( ŸÅŸäÿØŸäŸà ŸÉŸÑŸäÿ® ÿ≠ÿµÿ±ŸäÿßŸã),2915203,225666,22049
PBS NewsHour,"WATCH: SpaceX launches the Falcon Heavy, the rocket that could go to Mars",2911891,19138,1381
Dzjoker Chemsou,DZjoker CLASH ...,2911616,200586,4453
Sen Anlat Karadeniz,Sen Anlat Karadeniz 18. B√∂l√ºm Fragmanƒ±,2904844,42610,1007
BuzzFeedBlue,We Did 100 Squats Every Day For 30 Days,2902677,68851,3559
SQUEEZIE,J'AI COMPL√àTEMENT CRAQU√â...,2899799,252132,2034
LastWeekTonight,NRA TV: Last Week Tonight with John Oliver (HBO),2898662,97619,7375
The Daily Show with Trevor Noah,Trump Calls Non-White Countries S**tholes: The Daily Show,2898576,52749,14777
Naps Officiel,Naps (Ft. Soolking) - Favela (Clip Officiel),2897004,85770,2914
Mcfly & Carlito,YOUTUBE WARRIOR 3 vs Jimmy Labeeu & Math se fait des films,2893428,221983,2832
Lucas the Spider,Lucas the Spider - Musical Spider,2891141,217540,4522
5-Minute Crafts,35 BATHROOM LIFE HACKS YOU'LL ACTUALLY WANT TO TRY,2890038,28762,2721
Battlefield,Battlefield 5 Official Multiplayer Trailer,2888567,143372,21829
CAguileraVEVO,Christina Aguilera - Fall In Line (Lyric Video) ft. Demi Lovato,2888379,189146,3930
Saturday Night Live,Natalie‚Äôs Rap 2 - SNL,2888071,51306,2113
CaseyNeistat,ALL TIME GREATEST AIRPLANE SEAT - Emirates First Class Suite,2880365,182112,3717
ÿßŸÑŸÉŸàÿ±ÿ© ÿ≠Ÿäÿßÿ™ŸÜÿß,ÿßÿÆÿ± ÿÆŸÖÿ≥ ÿØŸÇÿßÿ¶ŸÇ ŸÖÿ¨ŸÜŸàŸÜÿ© ŸÖÿ®ÿßÿ±ÿßÿ© ŸÖÿµÿ± ŸàÿßŸÑÿ®ÿ±ÿ™ÿ∫ÿßŸÑ ŸÉÿ±Ÿäÿ≥ÿ™ŸäÿßŸÜŸà Ÿäÿ≥ÿ¨ŸÑ ŸáÿØŸÅŸäŸÜ ŸàŸäÿ±ÿØ ÿπŸÑŸâ ÿµŸÑÿßÿ≠,2877509,12917,1843
PTXofficial,[OFFICIAL VIDEO] HAVANA - PENTATONIX,2877441,217568,5196
Marwa Loud,Marwa Loud - Billet (Clip Officiel),2877223,88146,5278
KaarisOfficielVEVO,"Kaaris - Bling Bling ft. Kalash Criminel, Sofiane",2876756,102480,4995
MLG Highlights,Cleveland Cavaliers vs Toronto Raptors Full Game Highlights / Game 1 / 2018 NBA Playoffs,2873429,15112,866
Wunderbar Studios,Kaala (Tamil) - Official Trailer | Rajinikanth | Pa Ranjith | Dhanush | Santhosh Narayanan,2867606,130624,17991
Mcfly & Carlito,LES BELGES ONT-ILS UN COEUR ? feat. JIMMY LABEEU,2865558,239068,2485
Wrsh98,Real Madrid vs Barcelona 0-3 All Goals & Highlights 23/12/2017 HD,2863226,15226,2444
qabaha TV,ÿßŸÑÿµŸàÿ™ ÿßŸÑÿÆÿ±ÿßŸÅŸâ ÿ£ÿ¥ÿ±ŸÇÿ™ ÿ£ÿ≠ŸÖÿØ    ÿ£ŸÖÿß ÿ®ÿ±ÿßŸàÿ©  ÿ∞ÿß ŸÅŸàŸäÿ≥ ŸÉŸäÿØÿ≤ the voice kids,2863166,28304,2164
MLG Highlights,Golden State Warriors vs Houston Rockets Full Game Highlights / Game 4 / 2018 NBA Playoffs,2863041,17342,1056
5-Minute Crafts,25 EASY GIFT WRAPPING IDEAS AND HACKS,2862576,46501,2821
CaseyNeistat,Interviewing the Head of YouTube Business,2861233,156136,8312
JamesBayVEVO,James Bay - Slide (Live),2859753,28713,771
NORMAN FAIT DES VID√âOS,JE R√âALISE LE R√äVE DE JHON RACHID (NORMAN),2858142,244993,2231
Mr Sagoo,35 Genius Ideas!,2857094,5726,2410
VALDVEVO,Vald - D√©saccord√©,2856557,126696,4039
LastWeekTonight,Mike Pence: Last Week Tonight with John Oliver (HBO),2856358,98442,5208
PewDiePie,do you know how big my mousepad is?,2856266,193960,6440
Call of Duty,Official Call of Duty¬Æ: Black Ops 4 Teaser,2851930,138034,16591
joyner lucas,Joyner Lucas & Chris Brown - Stranger Things,2850569,194047,7166
Y Not Studios,Tamizh Padam 2 Official Teaser | Shiva | Iswarya Menon | CS Amudhan | #TP2Teaser | Y Not Studios,2850286,115424,1858
BFMTV,Enfant sauv√© d'une chute: l‚Äôint√©gralit√© du t√©moignage de Mamoudou Gassama sur le plateau de BFMTV,2848006,30544,2224
Cool Videos,Mirai Nagasu is the first U S  woman to land a triple Axel at the Olympics,2845111,19565,579
SMTOWN,NCT U ÏóîÏãúÌã∞ Ïú† 'BOSS' MV,2844996,429391,3397
NORMAN FAIT DES VID√âOS,GROSSE ANNONCE...,2844631,369792,3981
Charlie Puth,Charlie Puth - Done For Me (feat. Kehlani) [Official Video],2843450,246463,2879
ChainsmokersVEVO,The Chainsmokers - Everybody Hates Me (Audio),2842871,166111,2699
Bigorneaux & Coquillages,PLAGIAT OU PAS PLAGIAT ?,2842427,213243,7613
TheEllenShow,Billionaire Bill Gates Guesses Grocery Store Prices,2841864,55056,2432
Nintendo,First Look at Nintendo Labo,2835938,117839,13921
PBS NewsHour,"WATCH LIVE: SpaceX launches the Falcon Heavy, the rocket that could go to Mars",2832705,18170,1084
PlayNSkillzVEVO,"Play-N-Skillz - Cuidao (Official Video) ft. Yandel, Messiah",2832290,31182,1207
ABC Television Stations,Do you hear Yanny or Laurel?,2831351,15531,2369
GradurVEVO,Gradur - Sheguey 12,2830549,105403,5306
MLG Highlights,Cleveland Cavaliers vs Golden State Warriors Full Game Highlights / Jan 15 / 2017-18 NBA Season,2829312,15025,904
DADJU,DADJU - Bob Marley (Clip Officiel),2828640,113765,2497
MLG Highlights,Cleveland Cavaliers vs Indiana Pacers Full Game Highlights / Game 5 / 2018 NBA Playoffs,2827327,17987,810
1theK (ÏõêÎçîÏºÄÏù¥),[MV] SUNMI (ÏÑ†ÎØ∏) _ Heroine (Ï£ºÏù∏Í≥µ),2827100,242377,3770
Bebe Rexha,Bebe Rexha - Ferrari [Official Lyric Video],2827042,47477,1208
Logan Paul Vlogs,OUR NEW BACKYARD! **stunning**,2824535,169742,2010
Netflix,The End of the F**king World | Official Trailer [HD] | Netflix,2824423,65817,5212
GOLAZO TV,Barcelona vs Girona 6-1 - All Goals & Extended Highlights - La Liga 24/02/2018 HD,2822804,20892,1409
orelsan,OrelSan - D√©faite de famille [CLIP OFFICIEL],2822674,190138,3451
BackstreetBoysVEVO,Backstreet Boys - Don't Go Breaking My Heart (Official Video),2822391,131909,5164
ShawnMendesVEVO,Shawn Mendes - In My Blood,2822006,598252,3001
Shahid.net,ÿ¨ÿßÿ±Ÿä Ÿäÿß ÿ≠ŸÖŸàÿØÿ©| ŸÜŸäŸÜÿßÿ± ÿØŸá| ŸÖÿ±ÿ≠ŸÑÿ© ÿßŸÑÿµŸàÿ™ Ÿàÿ®ÿ≥,2817649,20258,1496
DIEN QUAN Comedy / H√†i,"Th√°ch th·ª©c danh h√†i 4| t·∫≠p 9 full: H√°t ch∆∞a h·∫øt b√†i, c√¥ g√°i ·∫µm 100 tri·ªáu khi·∫øn Tr∆∞·ªùng Giang √¥m b·ª•ng",2816711,14054,1614
The Film Theorists,Film Theory: How Star Wars Theories KILLED Star Wars: The Last Jedi!,2816260,110661,9917
BFMTV,Enfant sauv√© d'une chute: l‚Äôint√©gralit√© du t√©moignage de Mamoudou Gassama sur le plateau de BFMTV,2812031,30350,2205
BostonDynamics,"Getting some air, Atlas?",2809121,47711,1014
LaLiga Santander,ElCl√°sico - Resumen de FC Barcelona vs Real Madrid (2-2),2806987,18736,2030
NickiMinajAtVEVO,Nicki Minaj - Chun-Li (Live on SNL / 2018),2805930,151503,6453
Lucas the Spider,Lucas the Spider - Polar Bear,2805317,198913,3595
Lorenzo,Lorenzo - Carton Rouge (Clip Officiel),2804585,106305,3166
Logan Paul Vlogs,PUPPY KONG'S FIRST BLIND DATE!,2800155,177081,2249
Mcfly & Carlito,ON CHERCHE UN STAGIAIRE,2799252,240360,3700
TMZ,Logan Paul Says Even He Deserves a Second Chance | TMZ,2796125,58605,13562
NORMAN FAIT DES VID√âOS,TERRAIN MIN√â (Norman ft Jimmy Labeeu),2793063,252396,15198
BuzzFeedVideo,$2 Bacon Vs. $100 Bacon,2790741,83512,2926
WWE,Ronda Rousey puts Triple H through a table at her contract signing: WWE Elimination Chamber 2018,2788033,39292,2447
Jaden Smith,Jaden Smith - Icon (Remix) ft. Nicky Jam (Official Video),2786252,123576,7861
Troom Troom SELECT,16 Magic Tricks That You Can Do,2785599,18678,2278
Primitive Technology,Primitive Technology: Round hut,2783741,125003,1119
Mcfly & Carlito,LES BELGES ONT-ILS UN COEUR ? feat. JIMMY LABEEU,2782115,234929,2408
NORMAN FAIT DES VID√âOS,NORMAN - NO√ãL,2781075,234895,4411
MLG Highlights,Cleveland Cavaliers vs Golden State Warriors Full Game Highlights / Game 2 / 2018 NBA Finals,2779796,15194,1259
MLG Highlights,Golden State Warriors vs Houston Rockets Full Game Highlights / Game 6 / 2018 NBA Playoffs,2773335,15332,1222
OVO Sound,Drake   Im Upset,2770111,118307,4180
CaseyNeistat,about Logan Paul,2768013,165859,9001
Conor Maynard,Camila Cabello - Havana (SING OFF vs. My Little Sister),2766932,246706,3517
Rita Ora,"Rita Ora - Girls ft. Cardi B, Bebe Rexha & Charli XCX (Official Lyric Video)",2766850,149646,15322
h3h3Productions,Prank Invasion: A Closer Look,2766405,248153,5096
Proximity,Avicii - Wake Me Up,2766261,115472,1577
Jimmy Kimmel Live,Mean Tweets ‚Äì Jimmy Kimmel Edition,2765121,35532,1705
Lartiste Officiel,Lartiste ‚Äì Mafiosa feat. Caroliina,2762530,106387,3139
MalumaVEVO,Maluma - Hangover (Audio) ft. Prince Royce,2761235,48628,2071
FBE,COLLEGE KIDS REACT TO THIS IS AMERICA - CHILDISH GAMBINO,2759643,88721,5137
Matt Stonie,"Epic Chili Cheese Fries!! (10,120 Calories)",2758879,78913,3782
Saad Lamjarred | ÿ≥ÿπÿØ ŸÑŸÖÿ¨ÿ±ÿØ,Saad Lamjarred - YA ALLAH (Exclusive Lyric Clip) | 2018 | (ÿ≥ÿπÿØ ŸÑŸÖÿ¨ÿ±ÿØ - Ÿäÿß ÿßŸÑŸÑŸá (ÿ≠ÿµÿ±Ÿäÿß,2756886,212006,3879
Mcfly & Carlito,YOUTUBE WARRIOR vs Maxenss & Squeezie,2755971,261198,2065
NORMAN FAIT DES VID√âOS,GROSSE ANNONCE...,2755377,362757,3889
AlHayah TV Network,ŸÖÿ≥ŸÑÿ≥ŸÑ ŸÉŸÑÿ®ÿ¥ | ÿßŸÑÿ¨ÿ≤ÿ° ÿßŸÑÿ´ÿßŸÜŸä ‚Äì  ÿßŸÑÿ≠ŸÑŸÇÿ© ÿßŸÑÿ±ÿßÿ®ÿπÿ© ÿπÿ¥ÿ± 14 | Kalabsh2 Episode 14,2752835,23973,1787
ABC Television Network,Jodie Foster and Jennifer Lawrence Present the Oscar 2018 Best Actress Nominees,2751740,17859,1463
Physical Treatment,Physical Exam Doctoring #40 - Sick long day - Doctoring Physical treatment,2749843,2671,1989
Ma√Ætre GIMS,Ma√Ætre GIMS - La M√™me - En duo avec Vianney (Clip Officiel),2746605,106323,3311
KSI,LAUGHING AT: KARIUS,2744134,159327,38995
NORMAN FAIT DES VID√âOS,JE R√âALISE LE R√äVE DE JHON RACHID (NORMAN),2742052,238609,2162
√áukur,CÃßukur 17. BoÃàluÃàm 2. Fragman,2741253,25618,1707
Cyprien,CYPRIEN - LUNAIRE (court m√©trage),2736334,354228,7824
Mcfly & Carlito,YOUTUBE WARRIOR 2 vs Mister V & J√©r√©mie Dethelot,2733401,213684,1944
AuronPlay,MARK ZUCKERBERG ES UN ROBOT,2730389,333851,5117
LastWeekTonight,Venezuela: Last Week Tonight with John Oliver (HBO),2729289,62555,4178
Bigorneaux & Coquillages,ON TESTE DES V√âHICULES IMPROBABLES,2727787,213685,2018
LastWeekTonight,Corporate Taxes: Last Week Tonight with John Oliver (HBO),2726898,56510,1695
S√∂z Dizi,S√∂z | 31.B√∂l√ºm,2719359,37941,2005
